iter	RMSE
0	0.9443470815
1	0.9260169852
2	0.9079892499
3	0.8903304585
4	0.8730864304
5	0.856110821
6	0.8395634801
7	0.8233661295
8	0.807397634
9	0.7917475074
10	0.7763930896
11	0.7614108344
12	0.7466444765
13	0.7322066897
14	0.7180752985
15	0.704172162
16	0.690586763
17	0.6772379604
18	0.6641412476
19	0.6513335936
20	0.6388324808
21	0.6265005553
22	0.6144071608
23	0.6025825808
24	0.59103061
25	0.5796639791
26	0.5684729834
27	0.5575664987
28	0.5468935424
29	0.5363892328
30	0.5261259925
31	0.5160758391
32	0.5062022391
33	0.4965446126
34	0.4870110473
35	0.4777346961
36	0.4686260056
37	0.4596928805
38	0.4509618222
39	0.4423971219
40	0.4339436855
41	0.4256773787
42	0.4176270658
43	0.4096994059
44	0.401916716
45	0.3943132176
46	0.3868749446
47	0.3795937494
48	0.3724667708
49	0.3654641843
50	0.3585872244
51	0.3518901326
52	0.3452871398
53	0.3388517259
54	0.3325665873
55	0.326348737
56	0.3202887149
57	0.3143335264
58	0.3084844424
59	0.3027860719
60	0.2971955344
61	0.2917443921
62	0.286358657
63	0.2810838252
64	0.2759438351
65	0.2708728251
66	0.2659371606
67	0.261068525
68	0.2563061728
69	0.2516654935
70	0.2470677698
71	0.2425996074
72	0.2382412605
73	0.233969258
74	0.22979566
75	0.225658037
76	0.2216497624
77	0.2177601523
78	0.2138958784
79	0.210153946
80	0.2064684498
81	0.2028797939
82	0.199351121
83	0.1959000016
84	0.1925105565
85	0.1892110181
86	0.1859400748
87	0.1827723095
88	0.179682743
89	0.1766432664
90	0.1736812762
91	0.1708048277
92	0.1679496071
93	0.1651824396
94	0.1624631347
95	0.1597954308
96	0.1571803856
97	0.1546278696
98	0.1521435417
99	0.1497058008
100	0.1473249254
101	0.1450063419
102	0.1427333681
103	0.1405121294
104	0.1383482567
105	0.1362264773
106	0.1341500031
107	0.1321291707
108	0.1301554736
109	0.1282296191
110	0.1263529666
111	0.1245157118
112	0.1227112087
113	0.1209538022
114	0.119238715
115	0.1175729647
116	0.1159488435
117	0.1143697878
118	0.1128195593
119	0.1113152903
120	0.1098516832
121	0.1084195911
122	0.1070233405
123	0.1056578292
124	0.1043281324
125	0.1030323829
126	0.1017716587
127	0.1005322351
128	0.0993287188
129	0.09816103771
130	0.09702126059
131	0.09591954132
132	0.09484400451
133	0.09379028616
134	0.092775122
135	0.09177824814
136	0.09080136023
137	0.08986002902
138	0.0889416099
139	0.08804994062
140	0.08718875302
141	0.08634932156
142	0.08552926859
143	0.0847335317
144	0.08395654066
145	0.08320281274
146	0.0824653425
147	0.08175759806
148	0.08107138608
149	0.08040296257
150	0.07974633895
151	0.07911654537
152	0.07850257866
153	0.07790927793
154	0.0773312741
155	0.07675627621
156	0.07620801281
157	0.0756774352
158	0.07515850922
159	0.07466343644
160	0.07418011407
161	0.07371066737
162	0.07325367456
163	0.07281091999
164	0.0723764214
165	0.07196088524
